label,canonical_genre,label_type,template_file,route_tags,trope_tags,format_tags,aliases,notes
都市,都市,canonical,,,,,,
都市日常,都市,platform,都市日常.md,都市日常,,,,
都市异能,都市,platform,都市异能.md,都市异能,,,都市修真;现代异能;超凡都市,
高武,都市,platform,高武.md,高武,,,都市高武;全球高武,
都市脑洞,都市,platform,都市脑洞.md,都市脑洞,,,都市奇闻,
都市种田,都市,platform,,都市种田,,,,
战神赘婿,都市,platform,,都市赘婿流,,,赘婿逆袭;上门女婿;废婿翻身;都市赘婿,
现实题材,都市,preset,现实题材.md,,,,现实主义;现实向,
直播文,都市,format,直播文.md,,,直播文,直播;直播带货;主播,
黑暗题材,玄幻,trope,黑暗题材.md,,黑暗题材,,黑暗流;反派流,
玄幻,玄幻,canonical,修仙.md,,,,玄幻修仙;修仙/玄幻,
传统玄幻,玄幻,platform,,传统玄幻,,,,
玄幻脑洞,玄幻,platform,,玄幻脑洞,,,,
系统流,玄幻,trope,系统流.md,,系统流,,系统;系统文,
多子多福,玄幻,trope,多子多福.md,,多子多福,,多子多福系统;后宫系统,
学院流,玄幻,route,,学院流,,,入学考核;同届竞争;校园成长,
仙侠,仙侠,canonical,修仙.md,传统修真,,,修仙;修真;传统修真;宗门流;东方仙侠,
奇幻,奇幻,canonical,西幻.md,,,,西方奇幻;魔法;骑士,
西幻,奇幻,platform,西幻.md,西幻冒险,,,西幻冒险,
科幻,科幻,canonical,科幻.md,,,,赛博朋克,
末世,科幻,platform,末世.md,末世求生,,,科幻末世;丧尸;废土;灾变生存;末世基地,
历史,历史,canonical,,,,,,
历史古代,历史,platform,历史古代.md,历史古代,,,古代历史;争霸权谋,
历史脑洞,历史,platform,历史脑洞.md,历史脑洞,,,,
抗战谍战,历史,platform,抗战谍战.md,抗战谍战,,,谍战;军事,
穿越流,历史,route,,穿越流,,,穿越;穿书;异世重开;历史权谋;官场,
武侠,历史,legacy,,,,,,
悬疑,悬疑,canonical,,,,,,
悬疑脑洞,悬疑,platform,悬疑脑洞.md,悬疑脑洞,,,,
悬疑灵异,悬疑,platform,悬疑灵异.md,悬疑灵异,,,惊悚;灵异,
女频悬疑,悬疑,platform,女频悬疑.md,女频悬疑,,,情感悬疑,
规则怪谈,悬疑,route,规则怪谈.md,规则怪谈,,,规则动物园;规则怪谈动物园;规则类,
克苏鲁,悬疑,preset,克苏鲁.md,克苏鲁诡秘,,,克系;克系悬疑;诡秘;不可名状,
无限流,悬疑,route,无限流.md,副本流,,,无限副本;副本流;关卡挑战;多世界任务,
悬疑推理,悬疑,route,,悬疑推理,,,刑侦;本格;探案;推理,
游戏,游戏,canonical,,,,,,
游戏体育,游戏,platform,游戏体育.md,游戏体育,,,网游;竞技;体育;体育竞技,
电竞,游戏,platform,电竞.md,游戏电竞,,,电竞文;游戏电竞;电子竞技,
古言,古言,canonical,古言.md,,,,古风世情;古言脑洞,
宫斗宅斗,古言,platform,宫斗宅斗.md,宫斗宅斗,,,宫斗;宅斗;嫡庶,
现言,现言,canonical,,,,,,
现言脑洞,现言,platform,现言脑洞.md,现言脑洞,,,,
青春甜宠,现言,platform,青春甜宠.md,青春甜宠,,,青春;校园;甜宠;校园甜文;轻甜,
豪门总裁,现言,platform,豪门总裁.md,豪门总裁,,,豪门;总裁,
职场婚恋,现言,platform,职场婚恋.md,职场婚恋,,,职场;办公室恋情,
狗血言情,现言,trope,狗血言情.md,,狗血言情,,虐文;狗血,
替身文,现言,trope,替身文.md,,替身文,,替身;白月光,
知乎短篇,现言,format,知乎短篇.md,,,知乎短篇,知乎体;知乎盐选;第一人称短篇;小程序短篇,
娱乐圈,现言,platform,,娱乐圈,,,明星文;星光璀璨;综艺文,
幻言,幻言,canonical,幻想言情.md,,,,玄幻言情;幻想言情;仙侠言情;宿命恋,
年代,年代,canonical,年代.md,,,,年代文;四合院;工厂,
民国言情,年代,platform,民国言情.md,年代民国,,,年代民国;近现代,
种田,种田,canonical,种田.md,种田经营,,,基建;经营;慢生活,
快穿,快穿,canonical,,快穿任务,,,攻略系统;小世界;穿梭任务;任务者;原主,
衍生,衍生,canonical,,,,,,
同人衍生,衍生,platform,,同人衍生,,,同人;二创;动漫衍生;原作;OOC;轻小说;男频衍生;女频衍生,
